0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00157008 0 0.00157008
0.00313585 0.00157008 0.00156577
0.00469303 0.00313585 0.00155718
0.00623735 0.00469303 0.00154432
0.00776457 0.00623735 0.00152722
0.00927051 0.00776457 0.00150594
0.010751 0.00927051 0.00148053
0.0122021 0.010751 0.00145106
0.0136197 0.0122021 0.00141762
0.015 0.0136197 0.00138029
0.0163392 0.015 0.00133917
0.0176336 0.0163392 0.00129439
0.0188796 0.0176336 0.00124605
0.0200739 0.0188796 0.00119431
0.0212132 0.0200739 0.00113928
0.0222943 0.0212132 0.00108114
0.0233144 0.0222943 0.00102003
0.0242705 0.0233144 0.00095613
0.0251601 0.0242705 0.000889606
0.0259808 0.0251601 0.000820644
0.0267302 0.0259808 0.000749433
0.0274064 0.0267302 0.000676168
0.0280074 0.0274064 0.000601049
0.0285317 0.0280074 0.000524283
0.0289778 0.0285317 0.00044608
0.0293444 0.0289778 0.000366654
0.0296306 0.0293444 0.000286223
0.0298357 0.0296306 0.000205008
0.0299589 0.0298357 0.00012323
0.03 0.0299589 4.11154e-05
0.0299589 0.03 -4.11124e-05
0.0298357 0.0299589 -0.000123227
0.0296307 0.0298357 -0.000205005
0.0293444 0.0296307 -0.00028622
0.0289778 0.0293444 -0.000366651
0.0285317 0.0289778 -0.000446077
0.0280074 0.0285317 -0.00052428
0.0274064 0.0280074 -0.000601046
0.0267302 0.0274064 -0.000676165
0.0259808 0.0267302 -0.000749431
0.0251601 0.0259808 -0.000820644
0.0242705 0.0251601 -0.000889604
0.0233144 0.0242705 -0.000956128
0.0222944 0.0233144 -0.00102003
0.0212132 0.0222944 -0.00108114
0.020074 0.0212132 -0.00113928
0.0188797 0.020074 -0.0011943
0.0176336 0.0188797 -0.00124605
0.0163392 0.0176336 -0.00129438
0.0150001 0.0163392 -0.00133917
0.0136198 0.0150001 -0.00138028
0.0122022 0.0136198 -0.00141761
0.0107511 0.0122022 -0.00145106
0.00927058 0.0107511 -0.00148053
0.00776464 0.00927058 -0.00150594
0.00623743 0.00776464 -0.00152722
0.00469311 0.00623743 -0.00154431
0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00157008 0 0.00157008
0.00313585 0.00157008 0.00156577
0.00469303 0.00313585 0.00155718
0.00623735 0.00469303 0.00154432
0.00776457 0.00623735 0.00152722
0.00927051 0.00776457 0.00150594
0.010751 0.00927051 0.00148053
0.0122021 0.010751 0.00145106
0.0136197 0.0122021 0.00141762
0.015 0.0136197 0.00138029
0.0163392 0.015 0.00133917
0.0176336 0.0163392 0.00129439
0.0188796 0.0176336 0.00124605
0.0200739 0.0188796 0.00119431
0.0212132 0.0200739 0.00113928
0.0222943 0.0212132 0.00108114
0.0233144 0.0222943 0.00102003
0.0242705 0.0233144 0.00095613
0.0251601 0.0242705 0.000889606
0.0259808 0.0251601 0.000820644
0.0267302 0.0259808 0.000749433
0.0274064 0.0267302 0.000676168
0.0280074 0.0274064 0.000601049
0.0285317 0.0280074 0.000524283
0.0289778 0.0285317 0.00044608
0.0293444 0.0289778 0.000366654
0.0296306 0.0293444 0.000286223
0.0298357 0.0296306 0.000205008
0.0299589 0.0298357 0.00012323
0.03 0.0299589 4.11154e-05
0.0299589 0.03 -4.11124e-05
0.0298357 0.0299589 -0.000123227
0.0296307 0.0298357 -0.000205005
0.0293444 0.0296307 -0.00028622
0.0289778 0.0293444 -0.000366651
0.0285317 0.0289778 -0.000446077
0.0280074 0.0285317 -0.00052428
0.0274064 0.0280074 -0.000601046
0.0267302 0.0274064 -0.000676165
0.0259808 0.0267302 -0.000749431
0.0251601 0.0259808 -0.000820644
0.0242705 0.0251601 -0.000889604
0.0233144 0.0242705 -0.000956128
0.0222944 0.0233144 -0.00102003
0.0212132 0.0222944 -0.00108114
0.020074 0.0212132 -0.00113928
0.0188797 0.020074 -0.0011943
0.0176336 0.0188797 -0.00124605
0.0163392 0.0176336 -0.00129438
0.0150001 0.0163392 -0.00133917
0.0136198 0.0150001 -0.00138028
0.0122022 0.0136198 -0.00141761
0.0107511 0.0122022 -0.00145106
0.00927058 0.0107511 -0.00148053
0.00776464 0.00927058 -0.00150594
0.00623743 0.00776464 -0.00152722
0.00469311 0.00623743 -0.00154431
0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00157008 0 0.00157008
0.00313585 0.00157008 0.00156577
0.00469303 0.00313585 0.00155718
0.00623735 0.00469303 0.00154432
0.00776457 0.00623735 0.00152722
0.00927051 0.00776457 0.00150594
0.010751 0.00927051 0.00148053
0.0122021 0.010751 0.00145106
0.0136197 0.0122021 0.00141762
0.015 0.0136197 0.00138029
0.0163392 0.015 0.00133917
0.0176336 0.0163392 0.00129439
0.0188796 0.0176336 0.00124605
0.0200739 0.0188796 0.00119431
0.0212132 0.0200739 0.00113928
0.0222943 0.0212132 0.00108114
0.0233144 0.0222943 0.00102003
0.0242705 0.0233144 0.00095613
0.0251601 0.0242705 0.000889606
0.0259808 0.0251601 0.000820644
0.0267302 0.0259808 0.000749433
0.0274064 0.0267302 0.000676168
0.0280074 0.0274064 0.000601049
0.0285317 0.0280074 0.000524283
0.0289778 0.0285317 0.00044608
0.0293444 0.0289778 0.000366654
0.0296306 0.0293444 0.000286223
0.0298357 0.0296306 0.000205008
0.0299589 0.0298357 0.00012323
0.03 0.0299589 4.11154e-05
0.0299589 0.03 -4.11124e-05
0.0298357 0.0299589 -0.000123227
0.0296307 0.0298357 -0.000205005
0.0293444 0.0296307 -0.00028622
0.0289778 0.0293444 -0.000366651
0.0285317 0.0289778 -0.000446077
0.0280074 0.0285317 -0.00052428
0.0274064 0.0280074 -0.000601046
0.0267302 0.0274064 -0.000676165
0.0259808 0.0267302 -0.000749431
0.0251601 0.0259808 -0.000820644
0.0242705 0.0251601 -0.000889604
0.0233144 0.0242705 -0.000956128
0.0222944 0.0233144 -0.00102003
0.0212132 0.0222944 -0.00108114
0.020074 0.0212132 -0.00113928
0.0188797 0.020074 -0.0011943
0.0176336 0.0188797 -0.00124605
0.0163392 0.0176336 -0.00129438
0.0150001 0.0163392 -0.00133917
0.0136198 0.0150001 -0.00138028
0.0122022 0.0136198 -0.00141761
0.0107511 0.0122022 -0.00145106
0.00927058 0.0107511 -0.00148053
0.00776464 0.00927058 -0.00150594
0.00623743 0.00776464 -0.00152722
0.00469311 0.00623743 -0.00154431
0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00157008 0 0.00157008
0.00313585 0.00157008 0.00156577
0.00469303 0.00313585 0.00155718
0.00623735 0.00469303 0.00154432
0.00776457 0.00623735 0.00152722
0.00927051 0.00776457 0.00150594
0.010751 0.00927051 0.00148053
0.0122021 0.010751 0.00145106
0.0136197 0.0122021 0.00141762
0.015 0.0136197 0.00138029
0.0163392 0.015 0.00133917
0.0176336 0.0163392 0.00129439
0.0188796 0.0176336 0.00124605
0.0200739 0.0188796 0.00119431
0.0212132 0.0200739 0.00113928
0.0222943 0.0212132 0.00108114
0.0233144 0.0222943 0.00102003
0.0242705 0.0233144 0.00095613
0.0251601 0.0242705 0.000889606
0.0259808 0.0251601 0.000820644
0.0267302 0.0259808 0.000749433
0.0274064 0.0267302 0.000676168
0.0280074 0.0274064 0.000601049
0.0285317 0.0280074 0.000524283
0.0289778 0.0285317 0.00044608
0.0293444 0.0289778 0.000366654
0.0296306 0.0293444 0.000286223
0.0298357 0.0296306 0.000205008
0.0299589 0.0298357 0.00012323
0.03 0.0299589 4.11154e-05
0.0299589 0.03 -4.11124e-05
0.0298357 0.0299589 -0.000123227
0.0296307 0.0298357 -0.000205005
0.0293444 0.0296307 -0.00028622
0.0289778 0.0293444 -0.000366651
0.0285317 0.0289778 -0.000446077
0.0280074 0.0285317 -0.00052428
0.0274064 0.0280074 -0.000601046
0.0267302 0.0274064 -0.000676165
0.0259808 0.0267302 -0.000749431
0.0251601 0.0259808 -0.000820644
0.0242705 0.0251601 -0.000889604
0.0233144 0.0242705 -0.000956128
0.0222944 0.0233144 -0.00102003
0.0212132 0.0222944 -0.00108114
0.020074 0.0212132 -0.00113928
0.0188797 0.020074 -0.0011943
0.0176336 0.0188797 -0.00124605
0.0163392 0.0176336 -0.00129438
0.0150001 0.0163392 -0.00133917
0.0136198 0.0150001 -0.00138028
0.0122022 0.0136198 -0.00141761
0.0107511 0.0122022 -0.00145106
0.00927058 0.0107511 -0.00148053
0.00776464 0.00927058 -0.00150594
0.00623743 0.00776464 -0.00152722
0.00469311 0.00623743 -0.00154431
0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00157008 0 0.00157008
0.00313585 0.00157008 0.00156577
0.00469303 0.00313585 0.00155718
0.00623735 0.00469303 0.00154432
0.00776457 0.00623735 0.00152722
0.00927051 0.00776457 0.00150594
0.010751 0.00927051 0.00148053
0.0122021 0.010751 0.00145106
0.0136197 0.0122021 0.00141762
0.015 0.0136197 0.00138029
0.0163392 0.015 0.00133917
0.0176336 0.0163392 0.00129439
0.0188796 0.0176336 0.00124605
0.0200739 0.0188796 0.00119431
0.0212132 0.0200739 0.00113928
0.0222943 0.0212132 0.00108114
0.0233144 0.0222943 0.00102003
0.0242705 0.0233144 0.00095613
0.0251601 0.0242705 0.000889606
0.0259808 0.0251601 0.000820644
0.0267302 0.0259808 0.000749433
0.0274064 0.0267302 0.000676168
0.0280074 0.0274064 0.000601049
0.0285317 0.0280074 0.000524283
0.0289778 0.0285317 0.00044608
0.0293444 0.0289778 0.000366654
0.0296306 0.0293444 0.000286223
0.0298357 0.0296306 0.000205008
0.0299589 0.0298357 0.00012323
0.03 0.0299589 4.11154e-05
0.0299589 0.03 -4.11124e-05
0.0298357 0.0299589 -0.000123227
0.0296307 0.0298357 -0.000205005
0.0293444 0.0296307 -0.00028622
0.0289778 0.0293444 -0.000366651
0.0285317 0.0289778 -0.000446077
0.0280074 0.0285317 -0.00052428
0.0274064 0.0280074 -0.000601046
0.0267302 0.0274064 -0.000676165
0.0259808 0.0267302 -0.000749431
0.0251601 0.0259808 -0.000820644
0.0242705 0.0251601 -0.000889604
0.0233144 0.0242705 -0.000956128
0.0222944 0.0233144 -0.00102003
0.0212132 0.0222944 -0.00108114
0.020074 0.0212132 -0.00113928
0.0188797 0.020074 -0.0011943
0.0176336 0.0188797 -0.00124605
0.0163392 0.0176336 -0.00129438
0.0150001 0.0163392 -0.00133917
0.0136198 0.0150001 -0.00138028
0.0122022 0.0136198 -0.00141761
0.0107511 0.0122022 -0.00145106
0.00927058 0.0107511 -0.00148053
0.00776464 0.00927058 -0.00150594
0.00623743 0.00776464 -0.00152722
0.00469311 0.00623743 -0.00154431
0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.00157008 0 0.00157008
0.00313585 0.00157008 0.00156577
0.00469303 0.00313585 0.00155718
0.00623735 0.00469303 0.00154432
0.00776457 0.00623735 0.00152722
0.00927051 0.00776457 0.00150594
0.010751 0.00927051 0.00148053
0.0122021 0.010751 0.00145106
0.0136197 0.0122021 0.00141762
0.015 0.0136197 0.00138029
0.0163392 0.015 0.00133917
0.0176336 0.0163392 0.00129439
0.0188796 0.0176336 0.00124605
0.0200739 0.0188796 0.00119431
0.0212132 0.0200739 0.00113928
0.0222943 0.0212132 0.00108114
0.0233144 0.0222943 0.00102003
0.0242705 0.0233144 0.00095613
0.0251601 0.0242705 0.000889606
0.0259808 0.0251601 0.000820644
0.0267302 0.0259808 0.000749433
0.0274064 0.0267302 0.000676168
0.0280074 0.0274064 0.000601049
0.0285317 0.0280074 0.000524283
0.0289778 0.0285317 0.00044608
0.0293444 0.0289778 0.000366654
0.0296306 0.0293444 0.000286223
0.0298357 0.0296306 0.000205008
0.0299589 0.0298357 0.00012323
0.03 0.0299589 4.11154e-05
0.0299589 0.03 -4.11124e-05
0.0298357 0.0299589 -0.000123227
0.0296307 0.0298357 -0.000205005
0.0293444 0.0296307 -0.00028622
0.0289778 0.0293444 -0.000366651
0.0285317 0.0289778 -0.000446077
0.0280074 0.0285317 -0.00052428
0.0274064 0.0280074 -0.000601046
0.0267302 0.0274064 -0.000676165
0.0259808 0.0267302 -0.000749431
0.0251601 0.0259808 -0.000820644
0.0242705 0.0251601 -0.000889604
0.0233144 0.0242705 -0.000956128
0.0222944 0.0233144 -0.00102003
0.0212132 0.0222944 -0.00108114
0.020074 0.0212132 -0.00113928
0.0188797 0.020074 -0.0011943
0.0176336 0.0188797 -0.00124605
0.0163392 0.0176336 -0.00129438
0.0150001 0.0163392 -0.00133917
0.0136198 0.0150001 -0.00138028
0.0122022 0.0136198 -0.00141761
0.0107511 0.0122022 -0.00145106
0.00927058 0.0107511 -0.00148053
0.00776464 0.00927058 -0.00150594
0.00623743 0.00776464 -0.00152722
0.00469311 0.00623743 -0.00154431
0.00313593 0.00469311 -0.00155718
0.00157016 0.00313593 -0.00156577
8.51464e-08 0.00157016 -0.00157008
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
